ID,brand,itemName,productLink,imageFileName,imageLinkBlob,colorHex,personalCol,category,price
outer_id_1,에스피오나지,Cowichan Heavy Cardigan Orca Brown,https://www.musinsa.com/products/4517337,O1.jpg,https://chilldata.blob.core.windows.net/clothimage/O1.jpg,#543c2d,Autumn Deep,outer,134400
outer_id_2,퍼스텝,헤비 워싱 오버핏 워크 자켓 브라운 SMOT4658,https://www.musinsa.com/products/4396144,O2.jpg,https://chilldata.blob.core.windows.net/clothimage/O2.jpg,#7e532b,Autumn Deep,outer,84900
outer_id_3,무신사 스탠다드,캐시미어 블렌드 오버사이즈 미니멀 발마칸 코트 [토프],https://www.musinsa.com/products/4209292,O3.jpg,https://chilldata.blob.core.windows.net/clothimage/O3.jpg,#dcdddc,Spring Light,outer,153890
outer_id_4,일리고,워시드 레더 봄버 자켓 블랙,https://www.musinsa.com/products/4293285,O4.jpg,https://chilldata.blob.core.windows.net/clothimage/O4.jpg,#363635,Winter Deep,outer,90000
outer_id_5,수아레,[무료반품][20%쿠폰] 헤리티지 블레이저 시리즈,https://www.musinsa.com/products/2723772,O5.jpg,https://chilldata.blob.core.windows.net/clothimage/O5.jpg,#534539,Autumn Deep,outer,109900
outer_id_6,무신사 스탠다드 우먼,우먼즈 캐시미어 블렌드 핸드메이드 머플러 하프 코트 [블랙],https://www.musinsa.com/products/4213379,O6.jpg,https://chilldata.blob.core.windows.net/clothimage/O6.jpg,#0c171c,Winter Deep,outer,129890
outer_id_7,디스이즈네버댓,SP Sherpa Fleece Jacket Charcoal,https://www.musinsa.com/products/4345056,O7.jpg,https://chilldata.blob.core.windows.net/clothimage/O7.jpg,#5f5e59,Autumn Muted,outer,118300
outer_id_8,프리즘웍스,DENIM ZIP UP WORK JACKET _ NATURAL,https://www.musinsa.com/products/3870081,O8.jpg,https://chilldata.blob.core.windows.net/clothimage/O8.jpg,#d7caba,Spring Light,outer,88800
outer_id_9,폴로 랄프 로렌,[무료반품][30% 적립금] 발수 재킷 - 네이비,https://www.musinsa.com/products/2675537,O9.jpg,https://chilldata.blob.core.windows.net/clothimage/O9.jpg,#161c25,Winter Deep,outer,209300
outer_id_10,아틀리에 나인,모던 소프트 터치 자켓(JK-2308),https://www.musinsa.com/products/3567497,O10.jpg,https://chilldata.blob.core.windows.net/clothimage/O10.jpg,#13100f,Winter Deep,outer,35700
outer_id_11,노스페이스,[무료반품] NJ3LQ03B 남성 아이스 트랙 자켓,https://www.musinsa.com/products/4015866,O11.jpg,https://chilldata.blob.core.windows.net/clothimage/O11.jpg,#67676b,Autumn Muted,outer,101000
outer_id_12,던스트 포 우먼,UNISEX VINTAGE HALF WORK JACKET_UDJU5A109_CREAM,https://www.musinsa.com/products/4755804,O12.jpg,https://chilldata.blob.core.windows.net/clothimage/O12.jpg,#c4bbb1,Summer Muted,outer,265050
outer_id_13,시스티나,폭스퍼 벨티드 퀼팅 덕다운 점퍼_ASDJPN41100,https://www.musinsa.com/products/3724928,O13.jpg,https://chilldata.blob.core.windows.net/clothimage/O13.jpg,#e5e1db,Spring Light,outer,198000
outer_id_14,무신사 스탠다드 우먼,우먼즈 캐시미어 블렌드 트렌치 코트 [블랙],https://www.musinsa.com/products/3405568,O14.jpg,https://chilldata.blob.core.windows.net/clothimage/O14.jpg,#12161c,Winter Deep,outer,191890
outer_id_15,플레이스 스튜디오,비건 레더 오버핏 블루종 [블랙],https://www.musinsa.com/products/2140335,O15.jpg,https://chilldata.blob.core.windows.net/clothimage/O15.jpg,#333333,Winter Deep,outer,39900
outer_id_16,디미트리블랙,2WAY 크롭 코듀로이 드리즐러 자켓_브라운,https://www.musinsa.com/products/3596063,O16.jpg,https://chilldata.blob.core.windows.net/clothimage/O16.jpg,#3a2923,Autumn Deep,outer,43900
outer_id_17,무신사 스탠다드,오버사이즈 쉐르파 플리스 재킷 [블랙],https://www.musinsa.com/products/2795610,O17.jpg,https://chilldata.blob.core.windows.net/clothimage/O17.jpg,#131417,Winter Deep,outer,36690
outer_id_18,키뮤어,에센셜 라운드넥 니트 가디건_버건디,https://www.musinsa.com/products/4679397,O18.jpg,https://chilldata.blob.core.windows.net/clothimage/O18.jpg,#3d0712,Autumn Deep,outer,49900
outer_id_19,키뮤어,울 (WOOL) 숏카라 블루종_브라운,https://www.musinsa.com/products/4502393,O19.jpg,https://chilldata.blob.core.windows.net/clothimage/O19.jpg,#56351f,Autumn Deep,outer,116050
outer_id_20,무신사 스탠다드,미니멀 N-3B 패딩 파카 [블랙],https://www.musinsa.com/products/4356844,O20.jpg,https://chilldata.blob.core.windows.net/clothimage/O20.jpg,#dddddc,Spring Light,outer,74890
outer_id_21,디키즈,릴렉스드 재킷 Black,https://www.musinsa.com/products/3158873,O21.jpg,https://chilldata.blob.core.windows.net/clothimage/O21.jpg,#eaeaea,Spring Light,outer,99000
outer_id_22,맨인스토어 프로덕트,웨이브 투웨이 니트집업_Gray,https://www.musinsa.com/products/3794563,O22.jpg,https://chilldata.blob.core.windows.net/clothimage/O22.jpg,#a9a9ad,Summer Muted,outer,49900
outer_id_23,플레이스 스튜디오,래글런 부클 플리스 울 블렌디드 발마칸 벨티드 로브 롱 코트 [브라운],https://www.musinsa.com/products/4616565,O23.jpg,https://chilldata.blob.core.windows.net/clothimage/O23.jpg,#625042,Autumn Muted,outer,63360
outer_id_24,무신사 스탠다드,캐시미어 블렌드 대디 숄더 더블 롱 코트 [건메탈],https://www.musinsa.com/products/4211922,O24.jpg,https://chilldata.blob.core.windows.net/clothimage/O24.jpg,#24272c,Winter Deep,outer,99790
outer_id_25,맨인스토어 프로덕트,페이디드 워크 후드 블루종_Black,https://www.musinsa.com/products/4604538,O25.jpg,https://chilldata.blob.core.windows.net/clothimage/O25.jpg,#0e0f0e,Winter Deep,outer,69900
outer_id_26,시스티나,폭스퍼 후드 벨티드 덕다운 점퍼_ASDJPO41050_MI,https://www.musinsa.com/products/4725402,O26.jpg,https://chilldata.blob.core.windows.net/clothimage/O26.jpg,#cfd3d2,Summer Light,outer,188000
outer_id_27,무신사 스탠다드,코튼 미니멀 블루종 재킷 [네이비],https://www.musinsa.com/products/3323586,O27.jpg,https://chilldata.blob.core.windows.net/clothimage/O27.jpg,#242832,Winter Deep,outer,67390
outer_id_28,비디알,CORDUROY TOGGLE 4POCKET JACKET [Sailor Blue],https://www.musinsa.com/products/1135945,O28.jpg,https://chilldata.blob.core.windows.net/clothimage/O28.jpg,#101323,Winter Deep,outer,189050
outer_id_29,맨인스토어 프로덕트,비건 스웨이드 크롭 바이커 자켓 _Brown(woman),https://www.musinsa.com/products/4408436,O29.jpg,https://chilldata.blob.core.windows.net/clothimage/O29.jpg,#e8e7e5,Spring Light,outer,59900
outer_id_30,커버낫,RDS 커버라이트 스탠 카라 다운 점퍼 그린,https://www.musinsa.com/products/2929847,O30.jpg,https://chilldata.blob.core.windows.net/clothimage/O30.jpg,#3c5b59,Winter Deep,outer,54900
outer_id_31,로엠,울 V넥 베스트_RMVKE4TR01,https://www.musinsa.com/products/4592097,O31.jpg,https://chilldata.blob.core.windows.net/clothimage/O31.jpg,#7e6a62,Autumn Muted,skirt,24900
